Identifier,Room
201532421,0
201621767,1
201614856,1
201619463,1
201615631,0
201617937,0
201611288,0
201616664,0
201614618,0
201623067,0
201614877,0
201616413,0
201615392,0
201618465,0
201618208,1
201528355,1
201531951,0
201613872,0
201532463,0
201620020,1
201617974,1
201532471,0
201618495,1
201614404,1
201533019,0
201534048,0
201615457,0
201617271,1
201614967,1
201531265,0
201614466,1
201531015,0
201619851,0
201614219,1
201614477,0
201534357,0
201616794,0
201618076,1
201615774,0
201614502,0
201533095,1
201618343,0
201618089,0
201616302,0
201619118,1
201615795,1
201617591,0
201618112,0
201620928,0
201614795,1
201614035,1
201612540,1
201621472,1
201512162,1
201617385,0
201612778,0
201619433,0
201621226,0
201613037,0
201615598,1
201613551,1
201614577,1
201532407,1
201531644,0
